TEAM,PACE,PACEvsLA,AST,TO,ORR,DRR,REBR,EFF FG%,EFFFGvsLA,TS%,TSvsLA,OFF EFF,OFFEFFvsLA,DEF EFF,DEFEFFvsLA,NET EFF,Result,Season
Brooklyn,101.8,0.38,19.5,12.2,21.4,77.6,50.8,57.5,3.7,61,3.82,116.3,6.4,110.6,0.7,5.7,2,2021
LA Clippers,99.1,-2.32,18.4,12.2,22.7,79.5,51.7,56.4,2.6,59.9,2.72,115.2,5.3,108.7,-1.2,6.5,3,2021
Utah,100.8,-0.62,17.5,12.7,24.5,78.7,53.1,56.3,2.5,59.7,2.52,115.1,5.2,105.7,-4.2,9.4,2,2021
Phoenix,99.3,-2.12,19.8,11.5,20.8,78.7,50.1,56.4,2.6,59.7,2.52,114.9,5,108.8,-1.1,6.1,4,2021
Portland,100.8,-0.62,16,9.9,23,76.3,49.5,54,0.2,57.7,0.52,114.9,5,113.4,3.5,1.5,1,2021
Milwaukee,104.4,2.98,18.1,12,23.3,80.5,52.6,56.6,2.8,59.3,2.12,114.7,4.8,109.1,-0.8,5.6,5,2021
Denver,99.3,-2.12,19.4,12.1,24.7,77.5,51.9,55.7,1.9,58.8,1.62,114.2,4.3,110,0.1,4.2,2,2021
Atlanta,99.9,-1.52,17.8,11.9,24.4,76.8,51.7,53.9,0.1,58.1,0.92,113,3.1,110.6,0.7,2.4,3,2021
Dallas,99.5,-1.92,17.4,11.1,21.1,77.8,49.7,55,1.2,58.2,1.02,112.9,3,110.4,0.5,2.5,1,2021
Sacramento,102.2,0.78,18.6,12,21.3,75.6,47.8,54.9,1.1,57.8,0.62,111.1,1.2,114.6,4.7,-3.5,0,2021
Boston,100.7,-0.72,17.3,12.5,24.3,77.3,51,54.3,0.5,57.4,0.22,111,1.1,110,0.1,1,1,2021
Philadelphia,101.8,0.38,17.4,12.8,23.2,78.8,51.2,54.1,0.3,57.9,0.72,110.8,0.9,105.1,-4.8,5.7,2,2021
New Orleans,102.3,0.88,18.4,12.7,26.3,80,53.1,53.7,-0.1,57,-0.18,110.8,0.9,111.6,1.7,-0.8,0,2021
Indiana,104,2.58,19.4,11.9,20.2,76.6,47.7,54.2,0.4,57.5,0.32,109.9,0,109.6,-0.3,0.3,0,2021
Memphis,102.6,1.18,19,11.6,24.2,80,51,52.8,-1,56,-1.18,109.7,-0.2,108.5,-1.4,1.2,1,2021
Toronto,101.6,0.18,17.8,11.9,20.8,76,47.6,52.9,-0.9,56.7,-0.48,109.3,-0.6,109.8,-0.1,-0.5,0,2021
Miami,98.7,-2.72,19.7,13.1,19.4,77,49.2,54.6,0.8,58.1,0.92,109.1,-0.8,108.5,-1.4,0.6,1,2021
Washington,106.4,4.98,17.9,12.3,21.3,77,49.5,53.1,-0.7,56.9,-0.28,108.9,-1,110.5,0.6,-1.6,1,2021
Golden State,104.4,2.98,19.7,13.3,17.9,76.1,47.6,55.1,1.3,58.3,1.12,108.8,-1.1,107.7,-2.2,1.1,0,2021
